# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 2000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 2000
# Generated: 2026-01-12 02:51:02
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,541487,8920000,6.070482e-02,841,1000,8.410000e-01
0.1,149738,8920000,1.678677e-02,393,1000,3.930000e-01
0.2,24585,12773440,1.924697e-03,100,1432,6.983240e-02
0.3,1641,17840000,9.198430e-05,9,2000,4.500000e-03
0.4,3,17840000,1.681614e-07,1,2000,5.000000e-04
0.5,6,17840000,3.363229e-07,1,2000,5.000000e-04
0.6,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.7,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.8,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.9,0,17840000,0.000000e+00,0,2000,0.000000e+00
1.0,0,17840000,0.000000e+00,0,2000,0.000000e+00
