# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 5000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 5000
# Generated: 2026-01-12 01:37:53
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,531295,8920000,5.956222e-02,838,1000,8.380000e-01
0.1,156244,8920000,1.751614e-02,386,1000,3.860000e-01
0.2,26212,12398800,2.114076e-03,100,1390,7.194245e-02
0.3,3582,44600000,8.031390e-05,19,5000,3.800000e-03
0.4,43,44600000,9.641256e-07,1,5000,2.000000e-04
0.5,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.6,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.7,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.8,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.9,0,44600000,0.000000e+00,0,5000,0.000000e+00
1.0,0,44600000,0.000000e+00,0,5000,0.000000e+00
