# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 2000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 2000
# Generated: 2026-01-12 02:24:14
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,567521,8920000,6.362343e-02,841,1000,8.410000e-01
0.1,164230,8920000,1.841143e-02,400,1000,4.000000e-01
0.2,25812,11480040,2.248424e-03,100,1287,7.770008e-02
0.3,690,17840000,3.867713e-05,8,2000,4.000000e-03
0.4,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.5,3,17840000,1.681614e-07,1,2000,5.000000e-04
0.6,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.7,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.8,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.9,9,17840000,5.044843e-07,1,2000,5.000000e-04
1.0,0,17840000,0.000000e+00,0,2000,0.000000e+00
