# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 40000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 40000
# Generated: 2026-01-12 02:09:14
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,540975,8920000,6.064742e-02,822,1000,8.220000e-01
0.1,182222,8920000,2.042848e-02,440,1000,4.400000e-01
0.2,22572,12131200,1.860657e-03,100,1360,7.352941e-02
0.3,14908,242401000,6.150140e-05,100,27175,3.679853e-03
0.4,871,356800000,2.441143e-06,6,40000,1.500000e-04
0.5,442,356800000,1.238789e-06,3,40000,7.500000e-05
0.6,12,356800000,3.363229e-08,3,40000,7.500000e-05
0.7,6,356800000,1.681614e-08,1,40000,2.500000e-05
0.8,3,356800000,8.408072e-09,1,40000,2.500000e-05
0.9,0,356800000,0.000000e+00,0,40000,0.000000e+00
1.0,3,356800000,8.408072e-09,1,40000,2.500000e-05
