# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 2000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 2000
# Generated: 2026-01-12 01:30:00
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,552179,8920000,6.190348e-02,835,1000,8.350000e-01
0.1,164900,8920000,1.848655e-02,414,1000,4.140000e-01
0.2,28432,12015240,2.366328e-03,100,1347,7.423905e-02
0.3,1591,17840000,8.918161e-05,8,2000,4.000000e-03
0.4,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.5,3,17840000,1.681614e-07,1,2000,5.000000e-04
0.6,572,17840000,3.206278e-05,2,2000,1.000000e-03
0.7,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.8,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.9,0,17840000,0.000000e+00,0,2000,0.000000e+00
1.0,0,17840000,0.000000e+00,0,2000,0.000000e+00
