# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 2000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 2000
# Generated: 2026-01-12 02:37:18
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,559638,8920000,6.273969e-02,853,1000,8.530000e-01
0.1,164273,8920000,1.841626e-02,398,1000,3.980000e-01
0.2,21730,11221360,1.936485e-03,100,1258,7.949126e-02
0.3,1391,17840000,7.797085e-05,12,2000,6.000000e-03
0.4,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.5,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.6,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.7,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.8,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.9,0,17840000,0.000000e+00,0,2000,0.000000e+00
1.0,0,17840000,0.000000e+00,0,2000,0.000000e+00
