# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 5000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 5000
# Generated: 2026-01-12 06:18:25
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,531146,8920000,5.954552e-02,842,1000,8.420000e-01
0.1,161123,8920000,1.806312e-02,400,1000,4.000000e-01
0.2,23867,11970640,1.993795e-03,100,1342,7.451565e-02
0.3,2491,44600000,5.585202e-05,18,5000,3.600000e-03
0.4,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.5,3,44600000,6.726457e-08,1,5000,2.000000e-04
0.6,3,44600000,6.726457e-08,1,5000,2.000000e-04
0.7,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.8,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.9,0,44600000,0.000000e+00,0,5000,0.000000e+00
1.0,0,44600000,0.000000e+00,0,5000,0.000000e+00
