# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 5000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 5000
# Generated: 2026-01-12 00:04:08
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,527736,8920000,5.916323e-02,837,1000,8.370000e-01
0.1,138863,8920000,1.556760e-02,384,1000,3.840000e-01
0.2,24939,11096480,2.247469e-03,100,1244,8.038585e-02
0.3,4339,44600000,9.728700e-05,18,5000,3.600000e-03
0.4,13,44600000,2.914798e-07,2,5000,4.000000e-04
0.5,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.6,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.7,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.8,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.9,0,44600000,0.000000e+00,0,5000,0.000000e+00
1.0,5,44600000,1.121076e-07,1,5000,2.000000e-04
