# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 2000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 2000
# Generated: 2026-01-12 06:34:42
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,525286,8920000,5.888857e-02,834,1000,8.340000e-01
0.1,144702,8920000,1.622220e-02,378,1000,3.780000e-01
0.2,21356,10409640,2.051560e-03,100,1167,8.568980e-02
0.3,1384,17840000,7.757848e-05,10,2000,5.000000e-03
0.4,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.5,251,17840000,1.406951e-05,1,2000,5.000000e-04
0.6,0,17840000,0.000000e+00,0,2000,0.000000e+00
0.7,985,17840000,5.521300e-05,1,2000,5.000000e-04
0.8,6,17840000,3.363229e-07,1,2000,5.000000e-04
0.9,0,17840000,0.000000e+00,0,2000,0.000000e+00
1.0,0,17840000,0.000000e+00,0,2000,0.000000e+00
