# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 5000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 5000
# Generated: 2026-01-12 09:01:41
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,564222,8920000,6.325359e-02,838,1000,8.380000e-01
0.1,143549,8920000,1.609294e-02,374,1000,3.740000e-01
0.2,27821,11970640,2.324103e-03,100,1342,7.451565e-02
0.3,2121,44600000,4.755605e-05,24,5000,4.800000e-03
0.4,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.5,24,44600000,5.381166e-07,2,5000,4.000000e-04
0.6,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.7,6,44600000,1.345291e-07,1,5000,2.000000e-04
0.8,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.9,0,44600000,0.000000e+00,0,5000,0.000000e+00
1.0,0,44600000,0.000000e+00,0,5000,0.000000e+00
