# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 5000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 5000
# Generated: 2026-01-12 01:14:19
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,548750,8920000,6.151906e-02,832,1000,8.320000e-01
0.1,163483,8920000,1.832769e-02,394,1000,3.940000e-01
0.2,23888,13745720,1.737850e-03,100,1541,6.489293e-02
0.3,3755,44600000,8.419283e-05,25,5000,5.000000e-03
0.4,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.5,9,44600000,2.017937e-07,2,5000,4.000000e-04
0.6,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.7,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.8,0,44600000,0.000000e+00,0,5000,0.000000e+00
0.9,0,44600000,0.000000e+00,0,5000,0.000000e+00
1.0,0,44600000,0.000000e+00,0,5000,0.000000e+00
