# ============================================
# Channel Coding Simulation Results
# ============================================
# Decoder: Turbo (PCCC R=1/3)
# Code Rate: 0.3333
# Block Size: 1784 bits
# Generated: 2026-01-11 11:04:49
# ============================================
SNR_dB,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.5,12304,16559088,7.430361e-04,100,9282,1.077354e-02
0.6,6267,35680000,1.756446e-04,56,20000,2.800000e-03
0.7,723,35680000,2.026345e-05,7,20000,3.500000e-04
