# ============================================
# Channel Coding Simulation Results
# ============================================
# Decoder: Turbo (PCCC R=1/3)
# Code Rate: 0.3333
# Block Size: 8920 bits
# Generated: 2026-01-10 17:42:01
# ============================================
SNR_dB,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
-1.0,18105,89200,2.029709e-01,10,10,1.000000e+00
0.0,6467,89200,7.250000e-02,8,10,8.000000e-01
1.0,0,89200,0.000000e+00,0,10,0.000000e+00
2.0,0,89200,0.000000e+00,0,10,0.000000e+00
3.0,0,89200,0.000000e+00,0,10,0.000000e+00
4.0,0,89200,0.000000e+00,0,10,0.000000e+00
