# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Block Size (K): 8920
# Rate: 1/3
# Total Frames per SNR: 20000 (Target)
# Command: .\scripts\parallel_sim.ps1 -Decoder 4 -TurboType 1 -CcsdsK 8920 -CcsdsRate 0 -StartSNR 0 -EndSNR 1 -Step 0.1 -Frames 20000
# Generated: 2026-01-11 11:43:48
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.0,551398,8920000,6.181592e-02,832,1000,8.320000e-01
0.1,159438,8920000,1.787422e-02,409,1000,4.090000e-01
0.2,24867,12416640,2.002716e-03,100,1392,7.183908e-02
0.3,13549,167669240,8.080790e-05,100,18797,5.319998e-03
0.4,793,178400000,4.445067e-06,3,20000,1.500000e-04
0.5,15,178400000,8.408072e-08,5,20000,2.500000e-04
0.6,52,178400000,2.914798e-07,3,20000,1.500000e-04
0.7,9,178400000,5.044843e-08,2,20000,1.000000e-04
0.8,36,178400000,2.017937e-07,1,20000,5.000000e-05
0.9,0,178400000,0.000000e+00,0,20000,0.000000e+00
1.0,0,178400000,0.000000e+00,0,20000,0.000000e+00
