# Channel Coding Simulation Results (Merged)
# Decoder: Turbo_LogMAP
# Total Frames per SNR: 5000
# Generated: 2026-01-10 14:53:31
#
Eb_N0,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
-0.4,286812,1784000,1.607691e-01,998,1000,9.980000e-01
-0.2,227376,1784000,1.274529e-01,971,1000,9.710000e-01
0.0,137849,1784000,7.726962e-02,765,1000,7.650000e-01
0.2,47925,1784000,2.686379e-02,372,1000,3.720000e-01
0.4,9941,2206808,4.504696e-03,100,1237,8.084074e-02
0.6,2285,8920000,2.561659e-04,29,5000,5.800000e-03
0.8,248,8920000,2.780269e-05,2,5000,4.000000e-04
1.0,0,8920000,0.000000e+00,0,5000,0.000000e+00
