# ============================================
# Channel Coding Simulation Results
# ============================================
# Decoder: Turbo (PCCC R=1/3)
# Code Rate: 0.3333
# Block Size: 1784 bits
# Generated: 2026-01-11 11:04:49
# ============================================
SNR_dB,Bit_Errors,Total_Bits,BER,Frame_Errors,Total_Frames,FER
0.2,34679,1784000,1.943890e-02,243,1000,2.430000e-01
0.3,15857,1784000,8.888453e-03,106,1000,1.060000e-01
0.4,11865,4413616,2.688272e-03,100,2474,4.042037e-02
